datetime,aqi_us_lag1,aqi_us_lag12,aqi_us_lag24,scaled_humidity_%,scaled_temp_C_scaled_log_windspeed_kph,day_of_week,scaled_temp_C,scaled_temp_C_scaled_o3,aqi_us,scaled_log_pm2_5_lag1,scaled_log_pm2_5_lag12,scaled_log_pm2_5_lag24,scaled_log_pm10_lag1,scaled_log_pm10_lag12,scaled_log_pm10_lag24,scaled_log_no2,scaled_log_so2
2025-04-03 20:00:00,72.0,74.0,79.0,0.236338821,1.123813235,3,-0.874124465,0.476814014,72,-0.289479971,-0.710344989,0.391401534,-1.346790821,-1.145904846,0.001939951,1.644100012,-0.259764129
2025-04-03 21:00:00,72.0,74.0,79.0,0.356940767,1.137555601,3,-1.252142945,0.447364231,71,-0.680263622,-0.996440581,0.27621344,-1.590072726,-1.299333196,-0.094813632,1.26858212,-0.496943994
2025-04-03 22:00:00,71.0,74.0,79.0,0.603754051,0.740877522,3,-1.252142945,0.329539315,71,-1.098583162,-1.277425944,0.054017359,-1.854986028,-1.416944837,-0.276616751,0.946573711,-0.608715282
2025-04-03 23:00:00,71.0,77.0,79.0,0.890394024,2.548302259,3,-1.504155266,0.348684342,70,-1.352237174,-1.37125171,-0.174480182,-2.009565199,-1.360594387,-0.500834803,0.665963288,-0.608715282
2025-04-04 00:00:00,70.0,101.0,78.0,0.848323578,2.419806162,4,-1.882173746,0.318241048,69,-1.448607848,-1.222581877,-0.315679812,-2.040163065,-1.13979992,-0.595853385,0.444239039,-0.724828273
2025-04-04 01:00:00,69.0,114.0,78.0,0.584682115,1.113658969,4,-1.882173746,0.967644168,68,-1.759024598,-1.589262959,0.37080244,-1.836605802,-1.475205832,0.045292677,1.230863073,-0.234535847
2025-04-04 02:00:00,68.0,114.0,78.0,0.321040653,1.496341806,4,-1.756167586,1.618959212,67,-1.548360633,-1.186598324,0.599131895,-1.791497313,-1.272791591,0.066565704,1.899030807,0.335537757
2025-04-04 03:00:00,67.0,100.0,77.0,0.335625074,1.7099304,4,-1.882173746,1.735120582,65,-0.563023804,-0.680263622,1.282629432,-1.346790821,-1.074039263,0.303202261,2.173527375,0.83175592
2025-04-04 04:00:00,65.0,79.0,76.0,0.087128973,4.113177239,4,-2.197189147,0.371504373,63,0.088474298,-0.342123376,1.827039142,-1.091725883,-0.982667059,0.208530463,2.005018242,1.241923298
2025-04-04 05:00:00,63.0,73.0,76.0,0.600949354,6.350277343,4,-2.386198387,-2.440685154,62,-0.199636653,-0.199636653,0.819319027,-1.097662106,-1.022046011,-0.215039899,1.521251714,1.629599522
2025-04-04 06:00:00,62.0,73.0,75.0,0.815789099,1.859221862,4,-3.142235348,-6.663585476,62,-0.342123376,-0.187030589,0.2655066,-0.798267626,-1.121614197,-0.578181921,0.946573711,1.924310232
2025-04-04 07:00:00,62.0,72.0,75.0,0.815789099,4.03979732,4,-3.142235348,-9.620385402,62,-0.028044581,-0.174480182,-0.212298868,-0.25099382,-1.214530596,-0.880118083,0.464769008,2.214784533
2025-04-04 08:00:00,62.0,72.0,74.0,0.461275473,4.220984778,4,-2.008179907,-7.849021321,63,0.211359007,-0.289479971,-0.710344989,0.04834785,-1.346790821,-1.145904846,-0.018897192,2.459180857
2025-04-04 09:00:00,63.0,71.0,74.0,-1.947397801,0.565180802,4,-0.622112145,-2.646187123,63,0.2655066,-0.680263622,-0.996440581,0.084592457,-1.590072726,-1.299333196,-0.271198202,2.479517899
2025-04-04 10:00:00,63.0,71.0,74.0,-2.359127234,-0.579568795,4,0.637949457,2.413401172,82,0.122518569,-1.098583162,-1.277425944,-0.118195418,-1.854986028,-1.416944837,-0.074828455,2.113434702
2025-04-04 11:00:00,82.0,70.0,77.0,-2.505532386,-0.09956939,4,1.267980258,3.563922009,114,-0.076023149,-1.352237174,-1.37125171,-0.394920002,-2.009565199,-1.360594387,0.370265819,1.434863382
2025-04-04 12:00:00,114.0,69.0,101.0,-2.719250253,-0.604642807,4,1.898011059,4.382220042,139,-0.506168656,-1.448607848,-1.222581877,-0.636291363,-2.040163065,-1.13979992,0.836841809,1.449201701
2025-04-04 13:00:00,139.0,68.0,114.0,-2.763564456,-2.010505793,4,2.21302646,3.096529891,154,-0.436662438,-1.759024598,-1.589262959,-0.906516986,-1.836605802,-1.475205832,1.305443841,1.116688916
2025-04-04 14:00:00,154.0,67.0,114.0,-2.602574882,-2.496539449,4,2.33903262,0.411544837,156,-0.534454089,-1.548360633,-1.186598324,-1.079914601,-1.791497313,-1.272791591,1.781105827,0.57482813
2025-04-04 15:00:00,156.0,65.0,100.0,-2.12802025,-0.149043175,4,1.898011059,-1.392520113,145,-0.548703055,-0.563023804,-0.680263622,-1.272791591,-1.346790821,-1.074039263,2.024629677,0.075414313
2025-04-04 16:00:00,145.0,63.0,79.0,-1.946836862,0.214636289,4,1.582995659,-1.55862224,120,-0.818209629,0.088474298,-0.342123376,-1.490085014,-1.091725883,-0.982667059,2.008959546,-0.111492402
2025-04-04 17:00:00,120.0,62.0,73.0,-1.75331281,0.416957353,4,1.267980258,-1.168913682,86,-0.963192686,-0.199636653,-0.199636653,-1.574306242,-1.097662106,-1.022046011,1.856348188,-0.111492402
2025-04-04 18:00:00,86.0,62.0,73.0,-1.655148436,-0.050095605,4,0.637949457,-0.508066615,65,-1.030081952,-0.342123376,-0.187030589,-1.630133626,-0.798267626,-1.121614197,1.649022158,-0.184709132
2025-04-04 19:00:00,65.0,62.0,72.0,-1.137401479,0.00107368,4,0.007918656,-0.00531295,65,-1.030081952,-0.028044581,-0.174480182,-1.687835657,-0.25099382,-1.214530596,1.376745253,-0.442587339
2025-04-04 20:00:00,65.0,63.0,72.0,-0.749792435,0.268911914,4,-0.559109064,0.287443508,64,-1.16877593,0.211359007,-0.289479971,-1.827488885,0.04834785,-1.346790821,0.991420234,-0.814971797
2025-04-04 21:00:00,64.0,63.0,71.0,-0.680796904,1.754319465,4,-0.937127545,0.334815882,64,-1.528128073,0.2655066,-0.680263622,-2.081826554,0.084592457,-1.590072726,0.592230323,-1.102956894
2025-04-04 22:00:00,64.0,82.0,71.0,-1.1833985,1.754319465,4,-0.937127545,0.217239343,63,-1.986559014,0.122518569,-1.098583162,-2.367956604,-0.118195418,-1.854986028,0.162939789,-1.27581045
2025-04-04 23:00:00,63.0,114.0,70.0,-0.556829322,2.367022104,4,-1.126136785,0.155086432,63,-2.448545506,-0.076023149,-1.352237174,-2.651651893,-0.394920002,-2.009565199,-0.239396283,-1.384532748
2025-04-05 00:00:00,63.0,139.0,69.0,-0.695381325,1.609810582,5,-1.252142945,0.211714399,62,-2.804342098,-0.506168656,-1.448607848,-2.854066133,-0.636291363,-2.040163065,-0.147569162,-1.205465235
2025-04-05 01:00:00,62.0,154.0,68.0,-0.709965746,2.014808372,5,-1.567158346,0.559912582,62,-2.711131693,-0.436662438,-1.759024598,-2.565707247,-0.906516986,-1.836605802,0.647841917,-0.78462094
2025-04-05 02:00:00,62.0,156.0,67.0,-0.469322795,1.852809256,5,-1.441152186,0.876521038,62,-2.562267176,-0.534454089,-1.548360633,-2.622523487,-1.079914601,-1.791497313,1.323565213,-0.285207123
